Devices
1000
,,North - Force,,,North - Moment,,,North - CoP,,,South - Force,,,South - Moment,,,South - CoP,,,EMG - Voltage,,,,,,,,,,,,,,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,1,2,3,TA,5,Sol,7,8,VL,RF,BF,GlutMed,GlutMax,14,MedGast,16
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00191349,0.0011412,0.00055439,0.0168151,0.0041531,0.00124947,0.00159828,0.000570335,-0.0516259,0.00106033,0.00126923,0.0135653,-0.0207404,0.00136379,0.00123028,-0.00985626
1,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000947532,0.000111236,0.000287361,0.0154419,0.00590786,0.000257645,-0.000766831,-0.00049778,0.0334418,0.000526275,-0.000905151,0.0137179,-0.0213507,-4.76455e-05,-0.000600777,-0.00974182
1,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000120583,-0.00030838,0.000249214,0.0162811,0.00464901,-0.000123825,0.000873489,0.000455895,0.0717033,0.0002211,0.00123108,0.0159304,-0.0209311,-0.000200233,0.00206951,-0.00844482
1,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000146446,-0.000346527,-0.000246697,0.0166244,0.00319942,0.000143204,0.000720901,-0.000345192,-0.0553643,0.000526275,0.00058258,0.0163501,-0.0208167,0.00105862,0.000734367,-0.00970367
1,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000845375,-0.000117646,0.000859566,0.0155182,0.00552639,0.000105057,0.000148697,-1.86916e-06,0.0330604,-0.000732575,-0.000599976,0.0162738,-0.0214651,0.000867882,0.00168804,-0.00936035
1,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000311318,0.000836029,0.000592537,0.0157852,0.00648006,-8.56782e-05,-0.000194626,0.000646629,0.0793327,0.000526275,0.000506287,0.0160067,-0.0213126,0.000448265,0.000162163,-0.00905518
1,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.0011887,0.000340118,0.00124104,0.01651,0.00712856,0.00102058,0.000301285,0.000188866,-0.0614297,0.00174698,0.000887756,0.021538,-0.0205115,0.000562706,-0.000257454,-0.0081015
1,7,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000921669,-0.00019394,0.000668831,0.0163192,0.00552639,0.000791702,0.000530167,0.000951805,-0.0309121,-0.000732575,0.000658874,0.0170367,-0.0207022,0.00124935,0.00115398,-0.00928406
1,8,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000997963,0.000378265,5.84793e-05,0.0162048,0.00236019,0.000715408,0.000759048,0.000722923,-0.00954979,0.00102219,0.000773315,0.010361,-0.0199011,0.0012112,0.00130657,-0.00886444
1,9,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000769082,0.00095047,0.00146992,0.0160904,0.00361904,0.000181351,0.000835342,-1.86916e-06,0.0632346,0.00186142,-0.000332947,0.0140231,-0.020397,0.000867882,0.00126843,-0.00825409
2,0,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00160831,-0.000232087,-0.00020855,0.0163955,0.000643578,6.69097e-05,0.00133125,0.000455895,-0.00150078,0.000449982,0.00046814,0.0171511,-0.0210837,0.000944176,0.000658073,-0.00936035
2,1,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000692788,-0.000918732,0.00127918,0.0158996,0.00182613,0.000295792,0.00178902,-4.00161e-05,-0.0375115,-0.000427399,0.000277405,0.0189822,-0.0206641,0.000829735,0.000543633,-0.00848297
2,2,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00172276,0.000912323,0.00112659,0.0164337,0.0048016,0.00117317,0.000797195,0.00114254,0.0722755,0.00235733,0.00107849,0.0132983,-0.0204733,0.00140194,0.00111584,-0.00813965
2,3,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,-0.000337181,7.30893e-05,0.000630684,0.0172729,0.00384792,0.000639114,0.000415726,0.000608482,-0.00604027,0.000411835,0.00107849,0.00780514,-0.0219992,0.000600853,0.00138287,-0.0093222
2,4,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000578347,-3.20468e-06,0.000401802,0.0156326,0.00495419,0.000639114,7.24029e-05,-0.000268898,-0.0339639,0.000488129,0.000391846,0.0147479,-0.0211218,0.000219383,0.00245098,-0.00936035
2,5,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.00141758,0.000492706,0.000821419,0.0160522,0.00155911,0.000639114,0.00148384,0.00114254,0.0860465,0.000335541,0.000773315,0.0176471,-0.0223807,0.000143089,0.00119213,-0.00977997
2,6,0,0,0,0,0,0,231.8,254,0,0,0,0,0,0,0,231.8,766,0,0.000387612,3.49423e-05,0.000401802,0.0163955,0.00308498,0.000333939,0.000263138,-0.000383339,-8.93399e-05,0.000755157,0.0010022,0.01841,-0.0210455,0.000753441,0.00138287,-0.00981812
